epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.32,1.15327,3.63373,1.59334,0.70252,0.16823,0.14534,0.08963,1.34277,1.98168,1.84122,7.21318e-05,7.21318e-05,7.21318e-05
2,497.503,1.07912,2.34949,1.53382,0.57208,0.20848,0.21036,0.14368,1.34885,1.81259,1.83681,0.000139698,0.000139698,0.000139698
3,743.735,1.04799,1.98422,1.48584,0.56516,0.21847,0.24878,0.17077,1.33376,1.66523,1.7632,0.00020249,0.00020249,0.00020249
4,990.2,1.01906,1.80195,1.46158,0.64571,0.2018,0.23935,0.16557,1.30221,1.669,1.77911,0.000195517,0.000195517,0.000195517
5,1229.05,0.999,1.67402,1.43754,0.61739,0.2429,0.25586,0.17477,1.28176,1.58811,1.75432,0.000188356,0.000188356,0.000188356
6,1471.72,0.98949,1.56536,1.42142,0.5802,0.2584,0.29108,0.20411,1.25929,1.4611,1.70982,0.000181195,0.000181195,0.000181195
7,1715.36,0.98513,1.50413,1.41962,0.56811,0.2876,0.28846,0.20492,1.30546,1.44867,1.70618,0.000174034,0.000174034,0.000174034
8,1960.83,0.96624,1.4447,1.40671,0.65422,0.26062,0.28578,0.20115,1.26343,1.38671,1.70579,0.000166873,0.000166873,0.000166873
9,2206,0.9566,1.36599,1.39307,0.68972,0.26498,0.3241,0.2257,1.31077,1.3396,1.66278,0.000159712,0.000159712,0.000159712
10,2446.86,0.93498,1.32018,1.37941,0.70253,0.2467,0.3249,0.2344,1.20613,1.27945,1.63015,0.000152551,0.000152551,0.000152551
11,2692.78,0.94102,1.28797,1.37942,0.67029,0.24987,0.30438,0.21661,1.26196,1.35767,1.73108,0.00014539,0.00014539,0.00014539
12,2936.3,0.92459,1.24931,1.36945,0.53219,0.32534,0.36108,0.26272,1.24918,1.25567,1.63192,0.000138229,0.000138229,0.000138229
13,3182.39,0.92401,1.20091,1.36534,0.65333,0.27471,0.3295,0.24314,1.21442,1.26953,1.61618,0.000131068,0.000131068,0.000131068
14,3422.63,0.90659,1.16651,1.35279,0.6876,0.26796,0.33619,0.23806,1.24768,1.21398,1.6077,0.000123907,0.000123907,0.000123907
15,3660.28,0.90925,1.14024,1.35224,0.46299,0.35593,0.36268,0.2607,1.25509,1.20183,1.6555,0.000116746,0.000116746,0.000116746
16,3903.55,0.89575,1.10454,1.34496,0.61899,0.31411,0.38888,0.28781,1.21415,1.14198,1.61143,0.000109585,0.000109585,0.000109585
17,4146.26,0.88494,1.09274,1.33453,0.55185,0.34022,0.39448,0.28478,1.2217,1.14649,1.59899,0.000102424,0.000102424,0.000102424
18,4386.71,0.89008,1.07928,1.33767,0.47443,0.39648,0.38119,0.28121,1.22191,1.18653,1.6101,9.5263e-05,9.5263e-05,9.5263e-05
19,4630.99,0.8877,1.04783,1.33196,0.49009,0.33817,0.35593,0.26187,1.21349,1.18098,1.58398,8.8102e-05,8.8102e-05,8.8102e-05
20,4874.82,0.86527,1.01765,1.32026,0.44516,0.38968,0.39208,0.28477,1.23729,1.1672,1.60403,8.0941e-05,8.0941e-05,8.0941e-05
21,5106.21,0.88102,0.90205,1.39915,0.49551,0.40126,0.37407,0.27888,1.19955,1.18455,1.58677,7.378e-05,7.378e-05,7.378e-05
22,5337.42,0.85901,0.83884,1.38688,0.44123,0.39861,0.40078,0.29898,1.17896,1.17901,1.57575,6.6619e-05,6.6619e-05,6.6619e-05
23,5568.45,0.84285,0.80787,1.37435,0.62837,0.32936,0.40533,0.30372,1.16972,1.12815,1.56735,5.9458e-05,5.9458e-05,5.9458e-05
24,5800.83,0.83234,0.77202,1.36286,0.4468,0.43138,0.41053,0.30084,1.1796,1.12753,1.57583,5.2297e-05,5.2297e-05,5.2297e-05
25,6025.72,0.82161,0.74959,1.34631,0.57413,0.37439,0.41468,0.30685,1.19569,1.11995,1.58709,4.5136e-05,4.5136e-05,4.5136e-05
26,6256.53,0.80994,0.72981,1.3417,0.58518,0.34919,0.39955,0.30063,1.19574,1.17274,1.59399,3.7975e-05,3.7975e-05,3.7975e-05
27,6488.11,0.80402,0.70724,1.33029,0.53159,0.37919,0.40236,0.29873,1.18229,1.16112,1.58669,3.0814e-05,3.0814e-05,3.0814e-05
28,6720.33,0.79596,0.69426,1.32964,0.54743,0.36192,0.39941,0.29388,1.18547,1.15351,1.58287,2.3653e-05,2.3653e-05,2.3653e-05
29,6952.14,0.78435,0.67401,1.31335,0.55618,0.35802,0.40325,0.30569,1.18006,1.15653,1.57443,1.6492e-05,1.6492e-05,1.6492e-05
30,7179.06,0.78259,0.66716,1.31651,0.55684,0.36885,0.4055,0.29781,1.18367,1.14009,1.57682,9.331e-06,9.331e-06,9.331e-06
