epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.977,1.13724,3.65953,1.61577,0.60781,0.16886,0.13187,0.08943,1.34178,1.9855,1.88053,7.21318e-05,7.21318e-05,7.21318e-05
2,612.271,1.05634,2.32786,1.55072,0.60413,0.19965,0.21894,0.15169,1.29689,1.58941,1.87664,0.000139698,0.000139698,0.000139698
3,894.075,1.01916,1.97353,1.51003,0.48511,0.21855,0.20868,0.14454,1.35293,1.7337,1.91563,0.00020249,0.00020249,0.00020249
4,1172.04,0.99527,1.79522,1.49011,0.59985,0.25171,0.25523,0.18661,1.24729,1.5499,1.79055,0.000195517,0.000195517,0.000195517
5,1448.22,0.98097,1.65489,1.46975,0.63885,0.2494,0.2607,0.18413,1.26899,1.53185,1.83769,0.000188356,0.000188356,0.000188356
6,1725.44,0.96814,1.54468,1.45862,0.58524,0.24542,0.26753,0.19283,1.24156,1.47472,1.77167,0.000181195,0.000181195,0.000181195
7,2009.35,0.95873,1.47425,1.44938,0.59418,0.27742,0.28547,0.19852,1.22264,1.31113,1.7637,0.000174034,0.000174034,0.000174034
8,2296.08,0.9478,1.42056,1.44089,0.63802,0.2631,0.28989,0.20718,1.2473,1.32427,1.81312,0.000166873,0.000166873,0.000166873
9,2581.07,0.93848,1.34734,1.43245,0.68607,0.25696,0.30909,0.21575,1.27511,1.21327,1.78495,0.000159712,0.000159712,0.000159712
10,2862.57,0.91893,1.3111,1.41681,0.62928,0.28018,0.29664,0.21617,1.19032,1.36124,1.72495,0.000152551,0.000152551,0.000152551
11,3142.67,0.92506,1.27053,1.41943,0.61356,0.28163,0.30479,0.22434,1.18736,1.14992,1.75392,0.00014539,0.00014539,0.00014539
12,3422.01,0.90873,1.2456,1.41421,0.62972,0.27702,0.3089,0.22258,1.22264,1.18592,1.76268,0.000138229,0.000138229,0.000138229
13,3701.37,0.90655,1.20436,1.40725,0.65515,0.28372,0.33865,0.25188,1.16596,1.1941,1.70381,0.000131068,0.000131068,0.000131068
14,3979.92,0.8952,1.16129,1.39894,0.67663,0.29039,0.32218,0.22929,1.21223,1.14172,1.7158,0.000123907,0.000123907,0.000123907
15,4260.85,0.89651,1.14355,1.39825,0.63234,0.28038,0.31357,0.23103,1.18139,1.15243,1.69768,0.000116746,0.000116746,0.000116746
16,4539.53,0.88629,1.10929,1.38587,0.64716,0.30952,0.32343,0.24074,1.17271,1.11417,1.68466,0.000109585,0.000109585,0.000109585
17,4821.45,0.87782,1.09539,1.37643,0.63887,0.31943,0.36568,0.2673,1.19098,1.09914,1.68695,0.000102424,0.000102424,0.000102424
18,5096.94,0.88299,1.09122,1.37892,0.6828,0.28954,0.37033,0.2806,1.16681,1.1143,1.66657,9.5263e-05,9.5263e-05,9.5263e-05
19,5374.02,0.88323,1.05957,1.37773,0.66586,0.29117,0.3577,0.26605,1.18845,1.13057,1.68006,8.8102e-05,8.8102e-05,8.8102e-05
20,5656.95,0.86183,1.03521,1.36797,0.61662,0.3284,0.37296,0.28248,1.16332,1.07836,1.67369,8.0941e-05,8.0941e-05,8.0941e-05
21,5936.74,0.88603,0.92313,1.47548,0.58814,0.32951,0.3872,0.29593,1.16147,1.07393,1.66362,7.378e-05,7.378e-05,7.378e-05
22,6209.6,0.86112,0.86712,1.45369,0.49897,0.33379,0.33526,0.2511,1.15568,1.09239,1.6702,6.6619e-05,6.6619e-05,6.6619e-05
23,6473.3,0.85167,0.83552,1.45835,0.50754,0.34569,0.35627,0.26756,1.14582,1.04567,1.67688,5.9458e-05,5.9458e-05,5.9458e-05
24,6744.7,0.84764,0.80478,1.45395,0.55781,0.33945,0.3777,0.28396,1.15243,1.04112,1.68146,5.2297e-05,5.2297e-05,5.2297e-05
25,7016.64,0.83557,0.78625,1.43247,0.61171,0.31067,0.3822,0.28224,1.15458,1.03719,1.6735,4.5136e-05,4.5136e-05,4.5136e-05
26,7289.83,0.82892,0.75838,1.42854,0.52714,0.35391,0.35688,0.26999,1.13558,1.05315,1.65321,3.7975e-05,3.7975e-05,3.7975e-05
27,7569.53,0.82307,0.74365,1.42304,0.54998,0.3367,0.38825,0.29532,1.13521,1.04263,1.64764,3.0814e-05,3.0814e-05,3.0814e-05
28,7844.15,0.81357,0.71994,1.42206,0.64324,0.29617,0.36508,0.27796,1.13965,1.04281,1.64989,2.3653e-05,2.3653e-05,2.3653e-05
29,8118.48,0.80235,0.70359,1.40198,0.55922,0.30976,0.3543,0.26359,1.15342,1.04639,1.66819,1.6492e-05,1.6492e-05,1.6492e-05
30,8394.61,0.80278,0.69447,1.41109,0.47527,0.36463,0.36525,0.27378,1.142,1.04426,1.6562,9.331e-06,9.331e-06,9.331e-06
